FID,X,Y,S3 OLCI Chl-a (Reference),L8 Chl-a Estimates
1,34.6883,-0.136,12.8262291,12.672397
2,34.8431,-0.28705,7.192482,6.782982
3,34.6333,-0.33787,19.7712193,34.716781
4,34.1963,-0.32962,27.0684681,37.75373
5,34.445,-0.51776,11.878885,11.189233
6,34.5773,-0.2749733,25.7814922,24.092922
7,34.6762,-0.2664918,47.9735985,48.7815781
8,34.76276,-0.1754863,16.6154175,5.6154175
9,34.67268,-0.14808,19.8738117,14.786333
10,34.23748,-0.1934752,32.896373,22.093703
11,34.3367,-0.1246985,54.897378,34.63873
12,34.22563,-0.2559218,45.2139473,40.6527897
13,34.7635,-0.128549,34.390749,31.3614979
14,34.45276,-0.2816316,30.2175312,36.2872862
15,34.345289,-0.1504083,22.3694763,25.9862453
16,34.81456,-0.219185,21.0827217,22.7652746
17,34.3365,-0.2879617,12.7136602,15.4874602
18,34.34562,-0.23567384,36.6833458,28.78627572
19,34.52675,-0.26409568,36.1811638,38.8968926
20,34.5672,-0.27234,28.3718758,28.6757247
21,34.67734,-0.28058,35.7638616,37.9872681
22,34.452745,-0.28667,20.2672768,21.7891798
23,34.34366,-0.136,22.6752752,22.2849062
24,34.452567,-0.28705,48.4146805,44.7881581
25,34.6834,-0.33787,23.4221497,20.8827872
26,34.675372,-0.32962,23.6123867,23.6123867
27,34.34627,-0.51776,35.7556686,33.5642622
28,34.22376,-0.2749733,45.352726,44.7652742
29,34.16782,-0.2664918,22.5919514,21.2264722
30,34.56993,-0.1754863,19.7508106,20.992828
31,34.45237,-0.14808,29.3428097,29.3428097
32,34.4543,-0.1934752,21.4241199,34.4241199
33,34.675628,-0.1246985,26.5408688,26.5408688
34,34.782678,-0.2559218,32.2393388,32.8923988
35,34.8776235,-0.128549,45.2395917,45.1595917
36,34.4377,-0.2816316,30.381546,33.782866
37,34.56543,-0.1504083,34.6934929,34.6934929
38,34.6274,-0.219185,24.2780361,24.2780361
39,34.73321,-0.2879617,41.1544456,41.1544456
40,34.2806,-0.23567384,14.2988873,14.379873
41,34.2291,-0.26409568,39.6113853,39.6113853
42,34.1776,-0.27234,44.289875,40.785222
43,34.11261,-0.28058,33.2923622,33.2923622
44,34.20746,-0.28667,25.9610672,25.9610672
45,34.30231,-0.136,30.5531559,30.5531559
46,34.39716,-0.28705,30.6280708,30.6280708
47,34.49201,-0.33787,30.4792519,25.88292
48,34.58686,-0.32962,-1.3820229,-1.236229
49,34.68171,-0.51776,13.8262291,11.672397
50,35.2256,-0.23033,8.192482,9.782982
51,34.6334,-0.136,20.7712193,34.716781
52,34.9901,-0.28705,29.0684681,40.75373
53,34.6333,-0.33787,11.878885,11.189233
54,34.5963,-0.32962,25.7814922,24.092922
55,34.9845,-0.51776,27.9735985,18.7815781
56,34.5773,-0.2749733,16.6154175,5.6154175
57,34.6762,-0.2664918,19.8738117,14.786333
58,34.0926,-0.1754863,33.896373,23.093703
