Date,X,Y,S3 OLCI Chl-a (Reference),L8 Chl-a Estimates
1,34.77656,-0.2749733,29.6154175,31.186287
2,34.6883,-0.136,19.8738117,22.9871896
3,34.8431,-0.28705,22.8110428,31.6735573
4,34.6333,-0.33787,25.3831978,29.7876385
5,34.1963,-0.32962,20.1139473,16.6527897
6,34.445,-0.51776,21.3614979,20.3614979
7,34.5773,-0.2749733,10.2175312,5.2872862
8,34.6762,-0.2664918,21.3694763,24.9862453
9,34.76276,-0.1754863,21.0827217,22.7652746
10,34.67268,-0.14808,12.7136602,12.7136602
11,34.23748,-0.1934752,15.6833458,14.7862572
12,34.3367,-0.1246985,16.1811638,18.8968926
13,34.22563,-0.2559218,28.3718758,28.6757247
14,34.7635,-0.128549,25.3698616,27.9872681
15,34.45276,-0.2816316,20.2672768,21.7891798
16,34.345289,-0.1504083,22.6752752,22.2849062
17,34.81456,-0.219185,3.4146805,2.9881581
18,34.3365,-0.2879617,23.4221497,20.8827872
19,34.34562,-0.23567384,23.6123867,18.6123867
20,34.52675,-0.26409568,9.7556686,10.5642622
21,34.5672,-0.27234,17.352726,18.7652742
22,34.67734,-0.28058,24.5919514,21.2264722
23,34.452745,-0.28667,19.7508106,20.992828
24,34.34366,-0.136,29.3428097,19.3428097
25,34.452567,-0.28705,13.4241199,23.093833
26,34.6834,-0.33787,22.086887,26.5408688
27,34.675372,-0.32962,31.9223988,30.8923988
28,34.34627,-0.51776,4.9591715,5.1595917
29,34.22376,-0.2749733,20.546381,20.381546
30,34.16782,-0.2664918,13.6934929,8.4293492
31,34.56993,-0.1754863,24.2780361,24.2780361
32,34.45237,-0.14808,11.1544456,21.1544456
33,34.4543,-0.1934752,25.2988873,28.2988873
34,34.675628,-0.1246985,9.9113853,8.6223853
35,34.782678,-0.2559218,16.289875,12.1277875
36,34.8776235,-0.128549,33.2923622,31.2123622
37,34.4377,-0.2816316,25.3210672,25.9610672
38,34.56543,-0.1504083,32.7623359,30.5531559
39,34.6274,-0.219185,30.6280708,30.6280708
40,34.73321,-0.2879617,13.4792519,10.4792519
41,34.2806,-0.23567384,7.2433366,7.3820229
42,34.2291,-0.26409568,9.8262291,7.222397
43,34.1776,-0.27234,32.192482,27.552762
44,34.11261,-0.28058,24.7712193,24.716781
45,34.20746,-0.28667,27.0684681,22.0684681
46,34.30231,-0.136,17.1888885,23.7987151
47,34.39716,-0.28705,24.1124922,24.7814922
48,34.49201,-0.33787,17.9735985,15.8778282
49,34.58686,-0.32962,29.6154175,31.186287
50,34.68171,-0.51776,19.8738117,22.9871896
51,34.77656,-0.2749733,22.8110428,31.6735573
52,34.6883,-0.136,25.3831978,29.7876385
53,34.8431,-0.28705,20.2139473,17.6527897
54,34.6333,-0.33787,21.3614979,20.3614979
55,34.1963,-0.32962,10.2175312,5.2872862
56,34.445,-0.51776,20.3694763,11.9862453
57,34.5773,-0.2749733,21.0827217,22.7652746
58,34.6762,-0.2664918,12.7136602,12.7136602
59,34.76276,-0.1754863,15.8633458,14.78627572
60,34.67268,-0.14808,16.1811638,18.8968926
61,34.23748,-0.1934752,28.3718758,28.6757247
62,34.3367,-0.1246985,25.3698616,27.9872681
63,34.22563,-0.2559218,20.2672768,21.7891798
64,34.7635,-0.128549,22.6752752,22.2849062
65,34.45276,-0.2816316,2.2146805,2.92881581
66,34.345289,-0.1504083,23.4221497,20.8827872
67,34.81456,-0.219185,9.6123867,4.0123867
68,34.3365,-0.2879617,9.7556686,10.5642622
69,34.34562,-0.23567384,18.352726,14.7652742
70,34.52675,-0.26409568,24.5919514,21.2264722
71,34.5672,-0.27234,19.7508106,20.992828
72,34.67734,-0.28058,29.3428097,19.3428097
73,34.452745,-0.28667,13.4241199,23.093833
74,34.34366,-0.136,22.086887,26.5408688
75,34.452567,-0.28705,31.9223988,30.8923988
76,34.6834,-0.33787,14.9591715,15.1595917
77,34.675372,-0.32962,20.546381,20.381546
78,34.34627,-0.51776,13.6934929,8.4293492
79,34.22376,-0.2749733,24.2780361,24.2780361
80,34.16782,-0.2664918,11.1544456,21.1544456
81,34.56993,-0.1754863,27.2988873,29.2988873
82,34.45237,-0.14808,9.9113853,8.6223853
83,34.4543,-0.1934752,12.289875,11.1277875
84,34.675628,-0.1246985,33.2923622,31.2123622
85,34.782678,-0.2559218,25.3210672,25.9610672
86,34.8776235,-0.128549,32.7623359,30.5531559
87,34.4377,-0.2816316,30.6280708,30.6280708
88,34.56543,-0.1504083,13.4792519,10.4792519
89,34.6274,-0.219185,7.2433366,7.3820229
90,34.73321,-0.2879617,9.8262291,8.222397
91,34.2806,-0.23567384,32.192482,27.552762
92,34.2291,-0.26409568,24.7712193,24.716781
93,34.1776,-0.27234,27.0684681,22.0684681
94,34.11261,-0.28058,29.1888885,26.7987151
95,34.20746,-0.28667,24.1124922,24.7814922
96,34.30231,-0.136,17.9735985,15.8778282
97,34.39716,-0.28705,29.6154175,31.186287
98,34.49201,-0.33787,19.8738117,22.9871896
99,34.58686,-0.32962,22.8110428,31.6735573
100,34.68171,-0.51776,25.3831978,29.7876385
101,34.77656,-0.2749733,20.02139473,18.6527897
102,34.6883,-0.136,21.3614979,20.3614979
103,34.8431,-0.28705,10.2175312,5.2872862
104,34.6333,-0.33787,11.3694763,23.9862453
105,34.1963,-0.32962,21.0827217,22.7652746
106,34.445,-0.51776,12.7136602,12.7136602
107,34.5773,-0.2749733,15.6833458,15.7867572
108,34.6762,-0.2664918,16.1811638,18.8968926
109,34.76276,-0.1754863,28.3718758,28.6757247
110,34.67268,-0.14808,25.3698616,27.9872681
111,34.23748,-0.1934752,20.2672768,21.7891798
112,34.3367,-0.1246985,22.6752752,22.2849062
113,34.22563,-0.2559218,2.1146805,2.3881581
114,34.7635,-0.128549,23.4221497,20.8827872
115,34.45276,-0.2816316,30.6123867,33.6123867
116,34.345289,-0.1504083,9.7556686,10.5642622
117,34.81456,-0.219185,14.352726,16.7652742
118,34.3365,-0.2879617,24.5919514,21.2264722
119,34.34562,-0.23567384,19.7508106,20.992828
120,34.52675,-0.26409568,29.3428097,19.3428097
121,34.5672,-0.27234,13.4241199,23.093833
122,34.67734,-0.28058,22.086887,26.5408688
123,34.452745,-0.28667,31.9223988,30.8923988
124,34.34366,-0.136,14.5691715,15.595917
125,34.452567,-0.28705,20.546381,20.381546
126,34.6834,-0.33787,13.6934929,8.4293492
127,34.675372,-0.32962,24.2780361,24.2780361
128,34.34627,-0.51776,11.1544456,21.1544456
129,34.22376,-0.2749733,27.2988873,31.2988873
130,34.16782,-0.2664918,9.9113853,8.6223853
131,34.56993,-0.1754863,11.289875,11.1277875
132,34.45237,-0.14808,33.2923622,31.2123622
133,34.4543,-0.1934752,25.3210672,25.9610672
134,34.675628,-0.1246985,32.7623359,30.5531559
135,34.782678,-0.2559218,30.6280708,30.6280708
136,34.8776235,-0.128549,13.4792519,10.4792519
137,34.4377,-0.2816316,7.2433366,7.3820229
138,34.56543,-0.1504083,9.8262291,7.222397
139,34.6274,-0.219185,32.192482,27.552762
140,34.73321,-0.2879617,24.7712193,24.716781
141,34.2806,-0.23567384,27.0684681,22.0684681
142,34.2291,-0.26409568,27.1888885,26.7987151
143,34.1776,-0.27234,24.1124922,24.7814922
144,34.11261,-0.28058,17.9735985,15.8778282
145,34.20746,-0.28667,29.6154175,31.186287
146,34.30231,-0.136,19.8738117,22.9871896
147,34.39716,-0.28705,22.8110428,31.6735573
148,34.49201,-0.33787,25.3831978,29.7876385
149,34.58686,-0.32962,20.2139473,20.6527897
150,34.68171,-0.51776,21.3614979,20.3614979
151,34.77656,-0.2749733,10.2175312,5.2872862
152,34.6883,-0.136,25.3694763,24.7862453
153,34.8431,-0.28705,21.0827217,22.7652746
154,34.6333,-0.33787,12.7136602,12.7136602
155,34.1963,-0.32962,15.6833458,15.7862572
156,34.445,-0.51776,16.1811638,18.8968926
157,34.5773,-0.2749733,28.3718758,28.6757247
158,34.2291,-0.26409568,19.8738117,22.9871896
159,34.1776,-0.27234,22.8110428,31.6735573
160,34.11261,-0.28058,25.3831978,29.7876385
161,34.20746,-0.28667,20.2139473,20.6527897
162,34.30231,-0.136,21.3614979,20.3614979
163,34.39716,-0.28705,10.2175312,5.2872862
164,34.49201,-0.33787,22.3694763,25.9862453
165,34.58686,-0.32962,21.0827217,22.7652746
166,34.68171,-0.51776,12.7136602,12.7136602
167,34.77656,-0.2749733,6.2833458,6.7862757
168,34.6883,-0.136,16.1811638,18.8968926
169,34.8431,-0.28705,28.3718758,28.6757247
170,34.6333,-0.33787,25.3698616,27.9872681
171,34.1963,-0.32962,20.2672768,21.7891798
172,34.445,-0.51776,22.6752752,22.2849062
173,34.5773,-0.2749733,2.4146805,1.7881581
174,34.6762,-0.2664918,23.4221497,20.8827872
175,34.76276,-0.1754863,19.6123867,13.6123867
176,34.67268,-0.14808,9.7556686,10.5642622
177,34.23748,-0.1934752,16.352726,18.7652742
178,34.3367,-0.1246985,24.5919514,21.2264722
179,34.22563,-0.2559218,19.7508106,20.992828
180,34.7635,-0.128549,29.3428097,19.3428097
181,34.45276,-0.2816316,13.4241199,23.093833
182,34.452745,-0.28667,23.2988873,15.2988873
183,34.34366,-0.136,9.9113853,8.6223853
184,34.452567,-0.28705,10.289875,14.1277875
185,34.6834,-0.33787,33.2923622,31.2123622
186,34.675372,-0.32962,25.3210672,25.9610672
187,34.34627,-0.51776,32.7623359,30.5531559
188,34.22376,-0.2749733,30.6280708,30.6280708
189,34.16782,-0.2664918,13.4792519,10.4792519
190,34.56993,-0.1754863,7.2433366,7.3820229
191,34.675628,-0.1246985,8.8262291,9.222397
192,34.782678,-0.2559218,32.192482,27.552762
193,34.8776235,-0.128549,24.7712193,24.716781
194,34.4377,-0.2816316,27.0684681,22.0684681
195,34.2291,-0.26409568,19.8738117,22.9871896
196,34.1776,-0.27234,22.8110428,31.6735573
197,34.11261,-0.28058,25.3831978,29.7876385
198,34.20746,-0.28667,20.2139473,20.6527897
