FID,X,Y,MODIS LSAT (Reference),L8 LSAT Estimates
1,34.76276,-0.1754863,35.6154175,36.6154175
2,34.67268,-0.14808,29.8738117,30.9871896
3,34.23748,-0.1934752,32.8110428,32.6735573
4,34.3367,-0.1246985,30.3831978,29.7876385
5,34.22563,-0.2559218,26.2139473,26.6527897
6,34.7635,-0.128549,31.3614979,31.3614979
7,34.45276,-0.2816316,30.2175312,29.2872862
8,34.6883,-0.136,31.8262291,29.672397
9,34.8431,-0.28705,30.1923482,29.782982
10,34.6333,-0.33787,30.7712193,31.716781
11,34.1963,-0.32962,27.0684681,27.0684681
12,34.445,-0.51776,30.1803185,29.7987151
13,34.5773,-0.2749733,34.7814922,34.2214922
14,34.6762,-0.2664918,27.9735985,27.7815781
15,34.76276,-0.1754863,32.6154175,33.6154175
16,34.67268,-0.14808,33.2738117,32.9871896
17,34.23748,-0.1934752,29.8110428,30.6735573
18,34.3367,-0.1246985,27.3831978,29.7876385
19,34.22563,-0.2559218,28.2139473,28.6527897
20,34.7635,-0.128549,33.3614979,32.3614979
21,34.45276,-0.2816316,30.2175312,29.2872862
22,34.345289,-0.1504083,32.3694763,33.9862453
23,34.81456,-0.219185,28.0827217,28.7652746
24,34.3365,-0.2879617,28.7136602,28.7136602
25,34.34562,-0.23567384,29.6873458,28.7867572
26,34.52675,-0.26409568,26.1811638,27.8968926
27,34.5672,-0.27234,27.3718758,28.6757247
28,34.67734,-0.28058,27.3698616,27.9872681
29,34.452745,-0.28667,30.2672768,31.7891798
30,34.34366,-0.136,30.6752752,30.2849062
31,34.452567,-0.28705,30.4146805,31.7881581
32,34.6834,-0.33787,33.4221497,32.8827872
33,34.675372,-0.32962,30.6123867,31.6123867
34,34.34627,-0.51776,29.7556686,29.5642622
35,34.22376,-0.2749733,27.3523726,26.7652742
36,34.16782,-0.2664918,28.5919514,28.2264722
37,34.56993,-0.1754863,29.7508106,30.992828
38,34.45237,-0.14808,29.3428097,29.3428097
39,34.4543,-0.1934752,31.4241199,33.4241199
40,34.675628,-0.1246985,31.3120408,31.5408688
41,34.782678,-0.2559218,31.8923988,31.1923988
42,34.8776235,-0.128549,35.1595917,34.225917
43,34.4377,-0.2816316,29.381546,30.2338153
44,34.56543,-0.1504083,27.6934929,32.6934929
45,34.6274,-0.219185,28.2780361,28.2780361
46,34.73321,-0.2879617,34.1544456,31.1544456
47,34.2806,-0.23567384,29.2988873,29.2988873
48,34.2291,-0.26409568,29.6113853,27.613542
49,34.1776,-0.27234,28.289875,28.557345
50,34.11261,-0.28058,26.9223622,27.175222
51,34.20746,-0.28667,28.9610672,29.7610672
52,34.30231,-0.136,30.5531559,29.2531559
53,34.39716,-0.28705,30.6280708,30.0280454
54,34.49201,-0.33787,32.4792519,33.4792519
55,34.58686,-0.32962,35.3820229,33.620229
56,34.68171,-0.51776,30.697389,31.98292
